time [s],inspiration [NA](/api/datatype/34/)
16695.0,23312
16697.3828125,23308
16699.875,23318
16702.453125,23314
16704.859375,23314
16707.1796875,23315
16709.984375,23311
16712.5,23314
16714.6953125,23312
16717.1015625,23310
16719.6328125,23310
16722.171875,23311
16724.4140625,23307
16726.8203125,23312
16729.4296875,23315
16731.765625,23315
16734.234375,23314
16737.1171875,23320
16739.703125,23320
16741.84375,23297
16744.0078125,23350
16747.5390625,23285
16750.34375,23286
16753.84375,23277
16756.6640625,23279
16759.890625,23280
16762.3125,23303
16765.25,23288
16767.8046875,23306
16770.1484375,23306
16772.515625,23261
16775.8828125,23250
16778.734375,23250
16781.4921875,23253
16784.84375,23255
16787.6875,23252
16790.5546875,23252
16794.03125,23255
16796.84375,23254
16799.8359375,23252
16803.1015625,23253
16808.6640625,23282
16812.0859375,23288
16814.90625,23304
16817.3359375,23305
16819.59375,23303
16822.484375,23302
16825.4375,23300
16827.9453125,23309
16830.5234375,23312
16833.0234375,23303
16835.7578125,23302
16839.46875,23312
16842.6171875,23299
16845.328125,23300
16847.9140625,23304
16850.53125,23305
16853.03125,23309
16855.6328125,23304
16858.609375,23305
16867.1875,23289
16870.5703125,23293
16873.09375,23292
16877.078125,23296
16879.078125,23342
16881.1328125,23303
16883.7578125,23304
16887.8125,23303
16890.6328125,23303
16892.8125,23308
16896.7890625,23307
16899.90625,23303
16902.3203125,23302
16904.671875,23308
16908.1640625,23302
16911.2421875,23308
16914.0078125,23314
16917.328125,23313
16919.421875,23308
16921.6015625,23311
16924.0859375,23316
16926.75,23339
16929.6171875,23329
16932.015625,23333
16934.6171875,23315
16937.90625,23315
16940.3203125,23307
16942.59375,23319
16949.4921875,23313
16952.6875,23304
16956.0546875,23302
16959.5546875,23314
16962.3984375,23319
16966.5625,23283
16970.15625,23244
16972.8359375,23256
16975.3046875,23257
16977.4453125,23256
16980.46875,23262
16983.203125,23281
16986.640625,23301
16989.1640625,23312
16992.0703125,23299
16995.25,23298
16997.8203125,23297
17001.0,23312
17003.5390625,23310
17006.234375,23308
17009.0078125,23309
17011.71875,23305
17014.265625,23307
17017.375,23308
17019.640625,23286
17022.5546875,23289
17025.453125,23282
17028.0859375,23290
17036.1328125,23311
17038.609375,23310
17041.3125,23315
17043.5703125,23306
17046.3359375,23301
17048.7890625,23289
17051.375,23287
17058.3203125,23277
17061.7890625,23281
17067.53125,23320
17070.5,23310
17073.6640625,23315
17076.671875,23293
17079.15625,23293
17081.0859375,23348
17084.1484375,23306
17086.5390625,23309
17089.1796875,23289
17091.2265625,23283
17093.078125,23276
17097.03125,23308
17101.6640625,23309
17104.5625,23309
17107.34375,23294
17111.109375,23291
17114.1171875,23309
17117.15625,23315
17122.953125,23316
17125.3671875,23288
17127.4453125,23247
17130.640625,23312
17133.5546875,23307
17136.5625,23320
17139.390625,23305
17143.8828125,23329
17147.8359375,23290
17150.9609375,23303
17153.8359375,23311
17156.8984375,23293
17159.7265625,23309
17161.8515625,23296
17166.15625,23342
17170.3828125,23288
17174.40625,23293
17177.0703125,23311
17179.8046875,23305
17182.6484375,23301
17185.1953125,23302
17188.078125,23314
17191.3046875,23296
17195.25,23302
17198.046875,23301
17200.90625,23302
17203.96875,23307
17206.671875,23310
17209.390625,23307
17212.2734375,23309
17214.9921875,23312
17217.734375,23315
17220.28125,23307
17222.90625,23305
17225.4453125,23309
17228.09375,23309
17230.375,23328
17240.078125,23302
17247.09375,23286
17249.7421875,23305
17252.1484375,23310
17254.90625,23314
17257.921875,23314
17260.296875,23309
17262.625,23316
17266.71875,23319
17271.0390625,23306
17273.703125,23313
17277.0546875,23312
17279.8203125,23315
17282.0703125,23305
17284.109375,23295
17289.015625,23310
17292.2578125,23306
17295.359375,23304
17297.7890625,23314
17303.4921875,23289
17306.328125,23294
17309.3359375,23306
17313.0078125,23300
17315.734375,23303
17318.421875,23308
17321.1953125,23309
17323.6328125,23306
17327.6015625,23314
17330.3671875,23312
17333.0390625,23320
17335.8203125,23314
17337.890625,23301
17340.4609375,23311
17343.65625,23309
17345.625,23331
17349.125,23337
17359.7578125,23297
17363.0859375,23311
17366.4921875,23304
17369.4453125,23314
17371.8671875,23311
17374.6484375,23317
17377.5703125,23320
17380.5390625,23325
17383.0234375,23322
17385.703125,23313
17388.6328125,23321
17391.34375,23319
17394.203125,23315
17396.7890625,23314
