time [s],NN_interval [s/256](/api/datatype/318/)
25105.796875,181
25106.48828125,177
25107.24609375,194
25109.12109375,241
25111.5703125,205
25112.3828125,208
25113.1640625,200
25113.9140625,192
25114.68359375,197
25115.44140625,194
25116.17578125,188
25116.8984375,185
25117.66015625,195
25118.4375,199
25119.17578125,189
25119.8828125,181
25120.6171875,188
25121.38671875,197
25122.109375,185
25122.80078125,177
25123.453125,167
25124.0859375,162
25124.7265625,164
25125.3828125,168
25126.06640625,175
25126.74609375,174
25127.4296875,175
25128.125,178
25128.81640625,177
25129.5390625,185
25130.23828125,179
25130.92578125,176
25131.64453125,184
25132.38671875,190
25133.20703125,210
25133.984375,199
25135.5234375,201
25136.3359375,208
25137.17578125,215
25137.95703125,200
25138.7109375,193
25139.48828125,199
25140.2890625,205
25141.12890625,215
25141.94140625,208
25142.73828125,204
25143.55078125,208
25144.35546875,206
25145.109375,193
25145.89453125,201
25146.7109375,209
25147.52734375,209
25148.296875,197
25149.05078125,193
25149.81640625,196
25150.6015625,201
25151.3515625,192
25152.10546875,193
25152.90625,205
25153.76953125,221
25154.53515625,196
25156.01171875,186
25156.703125,177
25157.3515625,166
25157.97265625,159
25158.58984375,158
25159.20703125,158
25159.86328125,168
25160.55078125,176
25161.23828125,176
25161.8984375,169
25162.546875,166
25163.19140625,165
25163.828125,163
25164.44921875,159
25165.0546875,155
25165.6484375,152
