time [s],step [Step](/api/datatype/52/)
12172.53125,2708
12172.984375,2709
12173.421875,2710
12173.875,2711
12174.28125,2712
12174.796875,2713
12175.15625,2714
12175.671875,2715
12176.078125,2716
12176.578125,2717
12176.96875,2718
12177.46875,2719
12177.890625,2720
12178.390625,2721
12178.796875,2722
12179.3125,2723
12179.71875,2724
12180.234375,2725
12180.625,2726
12181.125,2727
12181.53125,2728
12182.03125,2729
12182.453125,2730
12182.96875,2731
12183.359375,2732
12183.875,2733
12184.296875,2734
12184.8125,2735
12185.21875,2736
12185.734375,2737
12186.15625,2738
12186.671875,2739
12187.09375,2740
12187.578125,2741
12187.984375,2742
12188.484375,2743
12188.90625,2744
12189.421875,2745
12189.796875,2746
12190.34375,2747
12190.765625,2748
12191.265625,2749
12191.671875,2750
12192.1875,2751
12192.625,2752
12193.140625,2753
12193.53125,2754
12194.0625,2755
12194.46875,2756
12194.984375,2757
12195.375,2758
12195.875,2759
12196.28125,2760
12196.796875,2761
12197.203125,2762
12197.75,2763
12198.171875,2764
12198.65625,2765
12199.09375,2766
12199.609375,2767
12200.015625,2768
12200.53125,2769
12200.96875,2770
12201.515625,2771
12201.875,2772
12202.453125,2773
12202.921875,2774
12203.390625,2775
12203.84375,2776
12204.34375,2777
12204.8125,2778
12205.34375,2779
12205.8125,2780
12206.328125,2781
12206.734375,2782
12207.265625,2783
12207.6875,2784
12208.234375,2785
12208.65625,2786
12209.28125,2787
12209.703125,2788
12220.203125,2789
12220.671875,2790
12224.953125,2791
12225.65625,2792
12249.765625,2793
12250.171875,2794
12250.828125,2795
12251.25,2796
12251.828125,2797
12252.328125,2798
12252.90625,2799
12253.34375,2800
12253.9375,2801
12254.359375,2802
12254.921875,2803
12255.34375,2804
12255.90625,2805
12256.421875,2806
12256.90625,2807
12257.359375,2808
12257.921875,2809
12258.328125,2810
12258.90625,2811
12259.34375,2812
12259.875,2813
12260.296875,2814
12260.84375,2815
12261.265625,2816
12261.84375,2817
12262.328125,2818
12262.84375,2819
12263.265625,2820
12263.828125,2821
12264.25,2822
12264.765625,2823
12265.140625,2824
12265.796875,2825
12266.25,2826
12266.890625,2827
12267.265625,2828
12267.96875,2829
12269.015625,2830
12270.015625,2831
12270.4375,2832
12271.0,2833
12272.046875,2834
12273.078125,2835
12273.46875,2836
12274.078125,2837
12274.5,2838
12275.09375,2839
12276.21875,2840
12279.484375,2841
12280.6875,2842
12281.328125,2843
12282.125,2844
12294.71875,2845
12301.921875,2846
12303.140625,2847
12303.578125,2848
12304.078125,2849
12304.5,2850
12304.984375,2851
12305.40625,2852
12305.90625,2853
12306.28125,2854
12306.828125,2855
12307.1875,2856
12307.78125,2857
12308.1875,2858
12308.6875,2859
12309.0625,2860
12309.671875,2861
12310.859375,2862
12311.484375,2863
12312.046875,2864
12312.625,2865
12313.265625,2866
12313.703125,2867
12314.265625,2868
12314.75,2869
12315.546875,2870
12315.953125,2871
12316.65625,2872
12317.0625,2873
12317.78125,2874
12318.21875,2875
12318.84375,2876
12319.203125,2877
12319.9375,2878
12321.046875,2879
12321.453125,2880
12322.703125,2881
12326.9375,2882
12327.5625,2883
12328.1875,2884
12328.65625,2885
12329.265625,2886
12329.734375,2887
12330.234375,2888
12330.6875,2889
12331.171875,2890
12331.609375,2891
12332.125,2892
12332.546875,2893
12333.078125,2894
12333.484375,2895
12334.015625,2896
12334.375,2897
12334.953125,2898
12335.390625,2899
12335.90625,2900
12336.296875,2901
12336.828125,2902
12337.1875,2903
12337.78125,2904
12338.21875,2905
12338.71875,2906
12339.078125,2907
12339.625,2908
12340.078125,2909
12340.5625,2910
12340.96875,2911
12341.515625,2912
12341.9375,2913
12342.515625,2914
12342.921875,2915
12343.4375,2916
12343.921875,2917
12344.40625,2918
12344.78125,2919
12345.34375,2920
12345.78125,2921
12346.28125,2922
12348.3125,2923
12349.015625,2924
12350.234375,2925
12353.5,2926
12354.1875,2927
12360.015625,2928
12360.5625,2929
12361.28125,2930
12361.734375,2931
12362.34375,2932
12362.703125,2933
12367.296875,2934
12388.140625,2935
12388.71875,2936
12389.375,2937
12389.796875,2938
12390.34375,2939
12390.765625,2940
12391.296875,2941
12391.703125,2942
12392.28125,2943
12392.6875,2944
12393.21875,2945
12393.625,2946
12394.25,2947
12394.640625,2948
12395.375,2949
12396.640625,2950
12397.28125,2951
12397.9375,2952
12398.59375,2953
12399.234375,2954
12399.703125,2955
12400.359375,2956
12400.734375,2957
12401.34375,2958
12401.703125,2959
12402.296875,2960
12402.78125,2961
12403.3125,2962
12403.671875,2963
12404.3125,2964
12404.78125,2965
12405.296875,2966
12405.75,2967
12406.25,2968
12406.734375,2969
12407.234375,2970
12407.671875,2971
12408.265625,2972
12408.578125,2973
12409.203125,2974
12409.546875,2975
12410.1875,2976
12410.5625,2977
12411.171875,2978
12411.578125,2979
12412.125,2980
12412.53125,2981
12413.078125,2982
12413.515625,2983
12414.0625,2984
12414.453125,2985
12415.015625,2986
12415.421875,2987
12416.015625,2988
12416.34375,2989
12416.984375,2990
12417.3125,2991
12417.96875,2992
12418.375,2993
12418.9375,2994
12419.3125,2995
12420.0,2996
12420.40625,2997
12420.984375,2998
12421.421875,2999
12422.0,3000
12422.5,3001
12423.0625,3002
12423.421875,3003
12424.078125,3004
12424.46875,3005
12425.03125,3006
12426.0625,3007
12426.484375,3008
12427.0625,3009
12427.546875,3010
12428.078125,3011
12428.453125,3012
12429.09375,3013
12429.515625,3014
12430.109375,3015
